missing_type,recovery,missing_ratio,avg_missing_per_frame,actual_missing_ratio,occlusion_width,occlusion_height,temperature,mask_seed,split,ensemble_wer,fuse_wer,body_wer,left_wer,right_wer,loss
random,none,0.01,1.0000,0.012658,,,,42,dev,63.9979,74.4863,28.3961,95.3563,88.3907,181.4160
random,interpolation,0.01,1.0000,0.012658,,,,42,dev,19.8025,19.9093,21.0835,29.0366,21.3504,40.8031
spatial,none,,1.3668,0.017301,0.10,0.10,,42,dev,44.8892,45.8233,27.1684,56.4185,50.7339,102.9718
motion,none,0.01,1.0000,0.012658,,,0.5,42,dev,60.0747,68.5348,28.0224,93.0344,85.2415,171.4715
spatial,interpolation,,1.3668,0.017301,0.10,0.10,,42,dev,20.9768,21.1369,22.0977,30.9047,23.1385,43.9706
motion,interpolation,0.01,1.0000,0.012658,,,0.5,42,dev,19.5356,19.7224,20.9768,28.5295,21.2970,40.7974
random,temporal_dae,0.01,1.0000,0.012658,,,,42,dev,19.5089,19.6691,21.2970,29.9973,21.6707,43.3233
spatial,temporal_dae,,1.3668,0.017301,0.10,0.10,,42,dev,20.4163,20.5765,21.9909,31.0915,22.8716,43.9798
motion,temporal_dae,0.01,1.0000,0.012658,,,0.5,42,dev,19.4556,19.8559,21.2170,30.1041,22.2044,43.3816
random,interpolation,0.02,2.0000,0.025316,,,,42,dev,19.8025,19.9093,21.1636,28.8231,21.2703,40.8392
random,temporal_dae,0.02,2.0000,0.025316,,,,42,dev,20.0160,20.6832,21.6974,33.1732,22.6848,47.5774
random,none,0.02,2.0000,0.025316,,,,42,dev,86.7894,95.9968,38.2973,99.5463,97.4380,236.8478
spatial,none,,2.7238,0.034479,0.15,0.15,,42,dev,49.5863,50.6272,30.4777,58.3667,53.8564,116.7890
spatial,interpolation,,2.7238,0.034479,0.15,0.15,,42,dev,24.0726,23.9658,23.3787,35.5218,26.9549,51.7717
spatial,temporal_dae,,2.7238,0.034479,0.15,0.15,,42,dev,21.9909,22.4179,22.7649,33.7603,24.4462,47.3286
motion,none,0.02,2.0000,0.025316,,,0.5,42,dev,84.3608,94.5823,37.1764,99.3862,96.9576,230.6268
motion,interpolation,0.02,2.0000,0.025316,,,0.5,42,dev,19.6958,19.6958,20.8167,28.7964,21.4038,40.8140
motion,temporal_dae,0.02,2.0000,0.025316,,,0.5,42,dev,19.8559,20.5231,21.8041,32.3192,23.0318,47.1644
